,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
2892,9780446611084,0446611085,Suzanne's Diary for Nicholas,,James Patterson,Fiction,http://books.google.com/books/content?id=Yqnglffxl1oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Katie Wilkinson has finally found the perfect man - but one day he suddenly disappears, leaving behind only a diary written by a new mother named Suzanne for her baby, Nicholas. In it she intimately reveals the romance between herself and the child's father, her hopes for their marriage, and her unparalleled joy in motherhood. As Katie reads on, she realizes that the man she loves is Suzanne's husband. Now, filled with terror and hope, Katie must struggle to understand what has happened - and find out if her new love has a prayer of surviving.",2003.0,4.16,289.0,128191.0
2901,9780446617796,0446617792,The Angel Experiment,A Maximum Ride Novel,James Patterson,Fiction,http://books.google.com/books/content?id=s2sZyAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In James Patterson's blockbuster series, fourteen-year-old Maximum Ride, better known as Max, knows what it's like to soar above the world. She and all the members of the ""flock""--Fang, Iggy, Nudge, Gasman and Angel--are just like ordinary kids--only they have wings and can fly. It may seem like a dream come true to some, but their lives can morph into a living nightmare at any time...like when Angel, the youngest member of the flock, is kidnapped and taken back to the ""School"" where she and the others were experimented on by a crew of wack jobs. Her friends brave a journey to blazing hot Death Valley, CA, to save Angel, but soon enough, they find themselves in yet another nightmare--this one involving fighting off the half-human, half-wolf ""Erasers"" in New York City. Whether in the treetops of Central Park or in the bowels of the Manhattan subway system, Max and her adopted family take the ride of their lives. Along the way Max discovers from her old friend and father-figure Jeb--now her betrayed and greatest enemy--that her purpose is save the world--but can she?",2006.0,4.08,413.0,184133.0
2917,9780446696111,0446696110,The Guardian,,Nicholas Sparks,Fiction,http://books.google.com/books/content?id=DyxAPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Julie Barenson's young husband left her two unexpected gifts before he died - a Great Dane puppy named Singer and the promise that he would always be watching over her. Now four years have passed. Still living in the small town of Swansboro, North Carolina, twenty-nine-year-old Julie is emotionally ready to make a commitment to someone again. But who? Should it be Richard Franklin, the handsome, sophisticated engineer who treats her like a queen? Or Mike Harris, the down-to-earth nice guy who was her husband's best friend? Choosing one of them should bring her more happiness than she's had in years. Instead, Julie is soon fighting for her life in a nightmare spawned by a chilling deception and jealousy so poisonous that it has become a murderous desire...",2005.0,4.15,400.0,144654.0
2919,9780446696616,0446696617,1st to Die,,James Patterson,Fiction,,"Four crime-solving friends face off against a killer in San Francisco in the Women's Murder Club novel that started James Patterson's thrilling series. Each one holds a piece of the puzzle: Lindsay Boxer is a homicide inspector in the San Francisco Police Department, Claire Washburn is a medical examiner, Jill Bernhardt is an assistant D.A., and Cindy Thomas just started working the crime desk of the San Francisco Chronicle. But the usual procedures aren't bringing them any closer to stopping the killings. So these women form a Women's Murder Club to collaborate outside the box and pursue the case by sidestepping their bosses and giving each other a hand. The four women develop intense bonds as they pursue a killer whose crimes have stunned an entire city. Working together, they track down the most terrifying and unexpected killer they have ever encountered--before a shocking conclusion in which everything they knew turns out to be devastatingly wrong. Full of the breathtaking drama and unforgettable emotions for which James Patterson is famous, 1st to Die is the start of the #1 New York Times bestselling series of crime thrillers.",2005.0,4.07,424.0,259028.0
2994,9780451207142,0451207149,The pillars of the earth,,Ken Follett,Fiction,http://books.google.com/books/content?id=HdTZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A story of passion and idealism, which describes a group of men and women in the Middle Ages whosedestinies are fatefully linked with the building of a cathedral.",2002.0,4.31,973.0,530446.0
3006,9780451210852,0451210859,The Drawing of the Three,,Stephen King,Fiction,http://books.google.com/books/content?id=78jqOFNt1ocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Roland is drawn through a gateway of time and space into the drug-and-crime-ridden world of the twentieth-century to battle a dark power determined to prevent his search for the Dark Tower.,2003.0,4.23,463.0,163647.0
3014,9780451216953,0451216954,Dark Lover,A Novel of the Black Dagger Brotherhood,J. R. Ward,Fiction,http://books.google.com/books/content?id=6dP7ngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When one of his most trusted fighters is killed, orphaning a half-breed daughter, Wrath, the only purebred vampire left on Earth, finds Beth Randall and ushers her into the world of the undead where she must fulfill her destiny by his side. Original.",2005.0,4.2,393.0,250693.0
3019,9780451218049,0451218043,Lover Eternal,A Novel of the Black Dagger Brotherhood,J. R. Ward,Fiction,http://books.google.com/books/content?id=5tyYDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Fierce warrior and legendary lover, Rhage, a vampire cursed by the Scribe Virgin and owned by the dark side, finds salvation in Mary Luce, the innocent young beauty he has sworn to protect, and together they battle against their enemies and fight for eternal love. Original.",2006.0,4.35,441.0,152091.0
3021,9780451219367,0451219368,Lover Awakened,A Novel of the Black Dagger Brotherhood,J. R. Ward,Fiction,http://books.google.com/books/content?id=FoubDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Zsadist, the most feared member of the Black Dagger Brotherhood, rescues Bella from the evil Lessening Society, he is nearly driven insane by rage against her tormentors, and must confront his tortured past in order to have a future with this brave beauty who is his destiny. Original.",2006.0,4.45,448.0,141779.0
3052,9780451527882,0451527887,The Hunchback of Notre-Dame,,Victor Hugo;Walter J. Cobb,Fiction,http://books.google.com/books/content?id=xDgIhiqgHdIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the famed novel set against the backdrop of medieval Paris, Quasimodo, the hunchbacked bellringer of Notre-Dame Cathedral, struggles to save the beautiful gypsy dancer Esmeralda from being unjustly executed. Reissue.",2001.0,3.99,510.0,136349.0
